timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
11339,1,170,30,5,170,30,42,24,-0.627636730670929,-0.040791016072034836,-0.8723437786102295,-7.827709197998047,10.761527061462402,-5.812061309814453
11340,2,170,30,13,170,30,42,21,-0.624707043170929,-0.016865234822034836,-0.8669726848602295,-0.45366406440734863,10.807328224182129,-10.010534286499023
11341,2,170,30,20,170,30,41,11,-0.640820324420929,-0.020283203572034836,-0.8550097942352295,-7.384961128234863,1.3722137212753296,-2.4685497283935547
11342,1,170,30,27,170,30,42,65,-0.542675793170929,-0.13283203542232513,-0.9404590129852295,26.202823638916016,25.09740447998047,-14.25480842590332
11343,2,170,30,32,170,30,39,54,-0.708935558795929,0.057353515177965164,-0.7998340129852295,-23.598703384399414,-19.299543380737305,11.180305480957031
11344,2,170,30,35,170,30,37,57,-0.572216808795929,-0.15114258229732513,-0.9050586223602295,-20.01091766357422,-25.08580207824707,12.676488876342773
11345,2,170,30,38,170,30,37,73,-0.608349621295929,-0.11354492604732513,-0.8962695598602295,42.06542205810547,17.387479782104492,-14.376946449279785
11346,2,170,30,38,170,30,37,32,-0.715283215045929,0.047587890177965164,-0.8113086223602295,17.500534057617188,10.547786712646484,-4.6517558097839355
11347,2,170,30,42,170,30,36,22,-0.635937511920929,-0.06471680104732513,-0.8437793254852295,-7.308625221252441,-10.520915985107422,4.508549690246582
11348,2,170,30,45,170,30,36,16,-0.613476574420929,-0.09523437917232513,-0.8823535442352295,5.149389266967773,1.8454961776733398,-9.033434867858887
11349,2,170,30,49,170,30,36,10,-0.624218761920929,-0.055195312947034836,-0.8703906536102295,5.225725173950195,0.6088549494743347,4.661221504211426
11350,2,170,30,51,170,30,36,2,-0.676708996295929,0.018291015177965164,-0.8220508098602295,1.1951909065246582,0.5630533695220947,-0.8807633519172668
11351,2,170,30,52,170,30,37,22,-0.655957043170929,-0.050556641072034836,-0.8340137004852295,9.500534057617188,7.433282375335693,-5.094503879547119
11352,2,170,30,48,170,30,37,4,-0.613232433795929,-0.08229492604732513,-0.8740527629852295,-3.1712214946746826,0.5172518491744995,-0.9265649318695068
11353,2,170,30,43,170,30,38,71,-0.645947277545929,-0.048359375447034836,-0.8464648723602295,29.439464569091797,25.005800247192383,-16.605953216552734
