timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
16847,0,170,30,297,170,30,41,4,-0.702587902545929,0.08835937082767487,-0.7849414348602295,3.408931255340576,1.051603078842163,-0.2548091411590576
16848,0,170,30,293,170,30,41,2,-0.710400402545929,0.08030273020267487,-0.7934863567352295,-0.40786266326904297,-1.8949618339538574,-0.43801525235176086
16849,0,170,30,295,170,30,41,13,-0.686718761920929,0.07224608957767487,-0.7998340129852295,9.1951904296875,-1.9865648746490479,-1.888396978378296
16850,0,170,30,299,170,30,41,9,-0.725048840045929,0.06516601145267487,-0.7795703411102295,3.485267162322998,4.105038166046143,2.2490077018737793
16851,0,170,30,300,170,30,41,4,-0.685009777545929,0.06321288645267487,-0.8022754192352295,-0.224656343460083,1.3111450672149658,3.119236707687378
16852,0,170,30,300,170,30,41,5,-0.710400402545929,0.09861327707767487,-0.7920215129852295,-0.2704579830169678,0.8836641311645508,3.9894657135009766
16853,0,170,30,298,170,30,41,4,-0.698681652545929,0.06492187082767487,-0.8098437786102295,-0.5452673435211182,0.349312961101532,3.684122085571289
16854,0,170,30,296,170,30,41,3,-0.692089855670929,0.08054687082767487,-0.7956836223602295,-0.8811452388763428,0.3187786340713501,2.1268701553344727
16855,0,170,30,297,170,30,41,14,-0.704541027545929,0.10398437082767487,-0.7932422161102295,-4.697938919067383,2.517251968383789,7.103969573974609
16856,0,170,30,304,170,30,41,10,-0.690380871295929,0.059306640177965164,-0.7966601848602295,-3.7513740062713623,-4.276641368865967,-2.7891602516174316
16857,0,170,30,311,170,30,41,6,-0.694042980670929,0.07810546457767487,-0.7986133098602295,0.09595417976379395,2.2119083404541016,4.126870155334473
16859,0,170,30,309,170,30,41,6,-0.694775402545929,0.10276366770267487,-0.7978808879852295,3.27152681350708,2.1508395671844482,1.027633547782898
16860,0,170,30,307,170,30,41,0,-0.702099621295929,0.09885741770267487,-0.7961719036102295,0.32496190071105957,-0.0018320679664611816,-0.2853434979915619
16861,0,170,30,308,170,30,41,2,-0.675000011920929,0.08567382395267487,-0.8078906536102295,0.6913740634918213,1.5248854160308838,0.6917557120323181
16862,0,170,30,307,170,30,41,4,-0.715283215045929,0.11985351145267487,-0.7995898723602295,-0.835343599319458,0.929465651512146,2.645954132080078
