timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
24295,0,170,30,16,170,30,9,302,-0.4660058617591858,-0.6973242163658142,-0.44859373569488525,86.8752670288086,-48.05145263671875,-167.631591796875
24296,0,170,30,16,170,30,9,112,-0.3976464867591858,-0.6768164038658142,-0.07701171934604645,28.58519172668457,35.75007629394531,-48.425498962402344
24297,0,170,30,14,170,30,13,83,-0.2560449242591858,-1.276914119720459,-0.16343750059604645,-56.43770980834961,-19.501832962036133,-7.387328147888184
24298,0,170,30,12,170,30,25,1008,-0.1742578148841858,-0.9768652319908142,-0.19126953184604645,-445.124755859375,257.9179992675781,304.96380615234375
24299,0,170,30,8,170,30,31,213,-0.5021386742591858,0.05218749865889549,-0.9151464700698853,-60.83465576171875,-27.013282775878906,125.43709564208984
24300,0,170,30,4,170,30,30,110,-0.6405664086341858,0.5548730492591858,-1.4087988138198853,86.52412414550781,-14.936946868896484,-8.608702659606934
24301,0,170,30,3,170,30,21,408,-0.7301660180091858,0.09100586175918579,-0.7708593606948853,-251.23159790039062,-116.32626342773438,40.65847396850586
24302,0,170,30,10,170,30,16,226,-0.6583886742591858,0.5675683617591858,-0.31846678256988525,-121.24687194824219,-57.654502868652344,47.71190643310547
24303,0,170,30,24,170,30,19,274,-0.6354394555091858,0.6498437523841858,-0.23521484434604645,148.20350646972656,41.719539642333984,-84.63923645019531
24304,0,170,30,29,170,30,29,630,-0.6994042992591858,-0.1987890601158142,-0.36607420444488525,477.2416687011719,24.360761642456055,-128.5018310546875
24305,0,170,30,15,170,30,34,644,-0.1442285180091858,-1.260068416595459,-0.5330663919448853,-302.55987548828125,-56.70793914794922,285.4828796386719
24306,0,170,30,13,170,30,35,67,-0.7006250023841858,0.08685547113418579,-0.7095800638198853,6.600458145141602,-3.3186259269714355,-57.31099319458008
24307,0,170,30,12,170,30,34,203,-0.6637597680091858,0.2077050805091858,-1.0377050638198853,-91.76595306396484,-46.08198547363281,65.33023071289062
